logFC	logCPM	PValue	FDR	CF_1	CF_2	CF_3	NB_1	NB_2	NB_3	CF_1	CF_2	CF_3	NB_1	NB_2	NB_3	DE	Regulation
Eco1257	3.58935973133357	6.13426168627827	4.21038644184585e-16	1.88748543417382e-14	22	8	10	269	226	337	13.821356906165	7.30526318062412	8.79787433608392	103.716162845063	118.212675030705	148.168497621125	100	DOWN_CF_UP_NB
Eco2607	3.4603993500488	6.587830535563	7.38257995306235e-16	3.26968239848882e-14	30	10	20	441	315	397	18.8473048720431	9.13157897578015	17.5957486721678	170.032817154918	164.765454135717	174.548645565539	100	DOWN_CF_UP_NB
Eco2302	-3.16325271325871	11.5760754144242	1.1998665444825e-15	5.25084454466391e-14	6210	7390	6640	1955	1397	810	3901.39210851293	6748.23686310153	5841.78855915972	753.773599859104	730.72171246856	356.131997249588	100	UP_CF_DOWN_NB
Eco0794	3.30480330271861	7.41076524365758	1.36854547742875e-15	5.91855667650364e-14	47	43	26	1145	637	299	29.5274442995342	39.2657895958546	22.8744732738182	441.468425492928	333.192362807783	131.461070589663	100	DOWN_CF_UP_NB
Eco1615	-3.34469955341156	6.51458963717969	1.5889454209623e-15	6.73633845965878e-14	185	204	236	52	37	24	116.225046710933	186.284211105915	207.62983433158	20.0492210704212	19.3534025492747	10.5520591777656	100	UP_CF_DOWN_NB
Eco3126	-3.33621773139678	6.5074043862606	1.59429120236756e-15	6.73633845965878e-14	327	171	161	62	33	19	205.43562310527	156.15000048584	141.645776810951	23.9048405070406	17.261142814218	8.35371351573107	100	UP_CF_DOWN_NB
Eco2606	3.2924692901726	7.22828243953645	1.80278400302645e-15	7.53072044900594e-14	58	23	26	649	505	642	36.4381227526167	21.0026316442943	22.8744732738182	250.229701436603	264.147791550911	282.267583005229	100	DOWN_CF_UP_NB
Eco0712	-3.30459112650641	6.63833611960212	1.86620529638587e-15	7.69961551531822e-14	171	238	261	55	41	30	107.429637770646	217.331579623567	229.62452017179	21.205906901407	21.4456622843314	13.190073972207	100	UP_CF_DOWN_NB
Eco2039	-3.49940045500872	5.63638877220302	1.8851071718679e-15	7.69961551531822e-14	80	128	134	17	15	24	50.2594796587817	116.884210889986	117.891516103524	6.55455304225308	7.84597400646271	10.5520591777656	100	UP_CF_DOWN_NB
Eco1737	3.16149773768274	8.83074620373689	2.26174199513965e-15	9.13644348805863e-14	298	38	54	2371	1423	1772	187.216561728962	34.7000001079645	47.5085214148531	914.167368422473	744.321400746429	779.093702625024	100	DOWN_CF_UP_NB
Eco0186	-3.16504345801685	8.38100919429087	2.69368121363347e-15	1.07630131970833e-13	554	800	834	169	113	176	348.046896637063	730.526318062412	733.742719629399	65.1599684788688	59.1063375153524	77.3817673036141	100	UP_CF_DOWN_NB
Eco0947	3.85730359474241	5.04198273225962	3.60581060751676e-15	1.42526449389587e-13	11	3	1	213	107	66	6.91067845308248	2.73947369273404	0.879787433608392	82.1246939999944	55.9679479127673	29.0181627388553	100	DOWN_CF_UP_NB
Eco1609	-3.07285240913229	10.9072221326842	6.04989804824297e-15	2.36589630056821e-13	3727	4248	4649	1080	664	1049	2341.46350860349	3879.09474891141	4090.13177884541	416.406899154901	347.315116019416	461.212919894836	100	UP_CF_DOWN_NB
Eco2235	3.21105784428396	7.050383813089	7.20929208819621e-15	2.78961660170624e-13	70	17	16	791	475	330	43.977044701434	15.5236842588262	14.0765989377343	304.979497436599	248.455843537986	145.090813694277	100	DOWN_CF_UP_NB
Eco0781	4.54212565179567	4.52046559476439	7.5711616695264e-15	2.84095767067178e-13	2	3	1	97	66	98	1.25648699146954	2.73947369273404	0.879787433608392	37.3995085352087	34.5222856284359	43.0875749758761	100	DOWN_CF_UP_NB
Eco1412	3.21015582579147	7.05711220704237	7.57382621669844e-15	2.84095767067178e-13	63	14	25	757	555	273	39.5793402312906	12.7842105660922	21.9946858402098	291.870391352093	290.30103823912	120.029673147083	100	DOWN_CF_UP_NB
Eco3395	-3.06430532349302	9.98033777535452	7.54860462520923e-15	2.84095767067178e-13	1742	2766	2053	483	305	688	1094.40016956997	2525.79474470079	1806.20360119803	186.22641878872	159.534804798075	302.492363095946	100	UP_CF_DOWN_NB
Eco0968	-3.05185217586992	9.3723418459375	1.23633562797198e-14	4.59067653376263e-13	983	1890	1385	224	193	550	617.56335630728	1725.86842642245	1218.50559554762	86.3658753802759	100.951532216487	241.818022823794	100	UP_CF_DOWN_NB
Eco1684	-3.01176288287091	9.00709007792946	2.71352029272449e-14	9.97490059605522e-13	779	1352	1177	269	164	346	489.401683177387	1234.58947752548	1035.50980935708	103.716162845063	85.7826491373256	152.125519812787	100	UP_CF_DOWN_NB
Eco3402	3.0328920745451	7.97717572212152	3.70267270697837e-14	1.34762622483688e-12	146	25	52	1301	995	697	91.7235503772766	22.8289474394504	45.7489465476364	501.616088704191	520.44960909536	306.449385287608	100	DOWN_CF_UP_NB
Eco0209	4.08283760823475	4.60829719075995	4.15806334691649e-14	1.49853341796716e-12	5	2	2	70	54	151	3.14121747867386	1.82631579515603	1.75957486721678	26.9893360563362	28.2455064232657	66.3900389934417	100	DOWN_CF_UP_NB
Eco0664	2.99825408779434	8.47321772033346	5.48816816880215e-14	1.95868992121521e-12	151	51	105	2112	1106	1096	94.8647678559504	46.5710527764787	92.3776805288811	814.306825014029	578.509816743184	481.877369117961	100	DOWN_CF_UP_NB
